company_name,screener_url,result_pdf_link,price,market_cap_text,market_cap_cr,pe,sales_latest_qtr_cr,sales_yoy_pct,net_profit_latest_qtr_cr,net_profit_yoy_pct
Elecon Engg.Co,https://www.screener.in/company/ELECON/consolidated/#/#,https://www.screener.in/company/source/quarter/903/3/2026/,413.0,"9,262 Cr",9262.0,25.9,746.0,-7.0,6.0,-51.0
Nuvoco Vistas,https://www.screener.in/company/NUVOCO/consolidated/#/#,https://www.screener.in/company/source/quarter/1274910/3/2026/,311.0,"11,122 Cr",11122.0,28.5,3307.0,9.0,141.0,3.0
Hathway Bhawani,https://www.screener.in/company/509073/consolidated/#/#,https://www.screener.in/company/source/quarter/1285/3/2026/,12.4,10.0 Cr,10.0,,0.6,-22.0,-0.18,-178.0
Den Networks,https://www.screener.in/company/DEN/consolidated/#/#,https://www.screener.in/company/source/quarter/792/3/2026/,29.2,"1,395 Cr",1395.0,8.4,241.0,-3.0,36.4,-38.0
Anand Rathi Shar,https://www.screener.in/company/ARSSBL/#/#,https://www.screener.in/company/source/quarter/1285676/3/2026/,574.0,"3,621 Cr",3621.0,27.5,255.0,28.0,42.0,125.0
Kapil Raj Financ,https://www.screener.in/company/539679/#/#,https://www.screener.in/company/source/quarter/1273258/3/2026/,2.98,32.6 Cr,32.6,59.3,0.0,,-0.07,0.0
ICICI Pru Life,https://www.screener.in/company/ICICIPRULI/consolidated/#/#,https://www.screener.in/company/source/quarter/1273517/3/2026/,562.0,"81,466 Cr",81466.0,50.7,3185.0,-80.0,624.0,62.0
Eimco Elecon(I),https://www.screener.in/company/EIMCOELECO/#/#,https://www.screener.in/company/source/quarter/892/3/2026/,1658.0,957 Cr,957.0,24.7,66.9,4.0,6.36,-57.0
Parin Enterpris.,https://www.screener.in/company/PARIN/consolidated/#/#,https://www.screener.in/company/source/quarter/1274575/3/2026/,634.0,704 Cr,704.0,108.3,139.0,6.0,4.32,-32.0
Just Dial,https://www.screener.in/company/JUSTDIAL/#/#,https://www.screener.in/company/source/quarter/400458/3/2026/,550.0,"4,675 Cr",4675.0,9.1,307.0,6.0,100.0,-37.0
ICICI AMC,https://www.screener.in/company/ICICIAMC/#/#,https://www.screener.in/company/source/quarter/1285819/3/2026/,3339.0,"1,65,028 Cr",165028.0,50.0,1517.0,20.0,763.0,10.0
Swaraj Engines,https://www.screener.in/company/SWARAJENG/#/#,https://www.screener.in/company/source/quarter/3316/3/2026/,4053.0,"4,925 Cr",4925.0,24.8,546.0,20.0,54.6,20.0
Ind Bank Housing,https://www.screener.in/company/523465/#/#,https://www.screener.in/company/source/quarter/1412/3/2026/,47.0,47.0 Cr,47.0,,0.0,,-0.02,60.0
Swadha Nature,https://www.screener.in/company/531039/#/#,https://www.screener.in/company/source/quarter/1269660/3/2026/,10.9,4.48 Cr,4.48,,0.0,,-0.06,-20.0
Aqylon Nexus,https://www.screener.in/company/AQYLON/#/#,https://www.screener.in/company/source/quarter/3163/3/2026/,45.4,"1,153 Cr",1153.0,,3.88,179.0,-7.99,-3183.0
B2B Soft.Tech.,https://www.screener.in/company/531268/consolidated/#/#,https://www.screener.in/company/source/quarter/359/3/2026/,30.5,52.9 Cr,52.9,18.6,8.04,7.0,0.32,-43.0
Vashu Bhagnani,https://www.screener.in/company/532011/consolidated/#/#,https://www.screener.in/company/source/quarter/1270084/3/2026/,114.0,730 Cr,730.0,231.0,2.31,-48.0,-2.32,-394.0
Agri-Tech India,https://www.screener.in/company/AGRITECH/#/#,https://www.screener.in/company/source/quarter/725818/3/2026/,123.0,73.0 Cr,73.0,,0.08,33.0,-0.27,4.0
Krishana Phosch.,https://www.screener.in/company/KRISHANA/#/#,https://www.screener.in/company/source/quarter/1273647/3/2026/,626.0,"3,791 Cr",3791.0,21.0,755.0,60.0,83.1,153.0
G M Breweries,https://www.screener.in/company/GMBREW/#/#,https://www.screener.in/company/source/quarter/1065/3/2026/,987.0,"2,255 Cr",2255.0,14.4,202.0,19.0,54.1,-11.0
Anand Rathi Wea.,https://www.screener.in/company/ANANDRATHI/#/#,https://www.screener.in/company/source/quarter/1275117/3/2026/,3690.0,"30,633 Cr",30633.0,78.3,277.0,30.0,102.0,41.0
Kesar India,https://www.screener.in/company/543542/consolidated/#/#,https://www.screener.in/company/source/quarter/1275247/3/2026/,1215.0,"3,473 Cr",3473.0,116.2,84.8,109.0,14.5,809.0
Jindal Leasefin,https://www.screener.in/company/539947/#/#,https://www.screener.in/company/source/quarter/1273403/3/2026/,69.8,21.0 Cr,21.0,22.8,2.48,248.0,1.18,195.0
Alka India,https://www.screener.in/company/530889/consolidated/#/#,https://www.screener.in/company/source/quarter/129/3/2026/,19.9,9.94 Cr,9.94,55.2,2.5,,0.82,316.0
